               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10617,            0.038075,             0.04437,           0.0012702,             0.26577,            0.012575,           0.0037478,            0.089841,            0.019554,            0.039046,              0.0721,              0.0031,              0.0031
                   1,            0.082513,            0.023901,             0.03055,             0.61248,            0.040275,            0.034263,           0.0075799,            0.087385,            0.013172,            0.027064,            0.042676,           0.0056763,           0.0056763
                   2,            0.073828,            0.021534,            0.019195,              0.6166,             0.11465,             0.10404,            0.028219,             0.07947,            0.011963,            0.014814,            0.012619,            0.007619,            0.007619
                   3,            0.068548,             0.01987,            0.014836,             0.73784,             0.24954,             0.23914,             0.12493,            0.064894,             0.01174,            0.012869,             0.00703,             0.00703,             0.00703
                   4,            0.062505,            0.018304,            0.012692,             0.76185,             0.32928,              0.2876,             0.13621,            0.061262,            0.010652,           0.0090542,             0.00703,             0.00703,             0.00703
                   5,            0.058596,            0.017148,            0.009959,             0.88446,             0.29874,             0.36252,             0.18692,            0.056125,            0.011465,            0.013652,             0.00604,             0.00604,             0.00604
                   6,            0.055224,            0.015174,           0.0098226,             0.85773,              0.3426,             0.34668,             0.19065,            0.056294,            0.010932,            0.012755,             0.00505,             0.00505,             0.00505
                   7,             0.05019,            0.015941,           0.0078746,             0.95449,              0.3751,             0.42069,             0.28196,            0.045484,            0.010033,           0.0083237,             0.00406,             0.00406,             0.00406
                   8,            0.045438,            0.013973,           0.0079627,             0.93359,             0.37562,             0.42494,             0.28223,            0.042738,           0.0090739,           0.0068322,             0.00307,             0.00307,             0.00307
                   9,            0.043694,            0.013635,           0.0084135,             0.95849,             0.42443,             0.46058,             0.31561,            0.041245,           0.0084276,           0.0068563,             0.00208,             0.00208,             0.00208
